Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label,binary_label,source_file
80,319600,2,1,12,6,6,6,6.0,0.0,6,6,6.0,0.0,56.3204005,9.386733417,159800.0,225978.5993,319591,9,319591,319591.0,0.0,319591,319591,0,0.0,0.0,0,0,0,0,0,0,40,20,6.257822278,3.128911139,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,8.0,6.0,6.0,40,0,0,0,0,0,0,2,12,1,6,256,56,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
80,1704,3,6,327,11595,327,0,109.0,188.793538,5792,0,1932.5,2537.820147,6996478.873,5281.690141,213.0,259.5402529,776,41,923,461.5,577.7062402,870,53,1610,322.0,358.4096818,904,41,0,0,0,0,104,200,1760.56338,3521.126761,0,5792,1192.2,2121.41236,4500390.4,0,0,0,1,0,0,0,0,2,1324.666667,109.0,1932.5,104,0,0,0,0,0,0,3,327,6,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk,1,Wednesday-workingHours.pcap_ISCX.csv
80,98155506,8,4,56,11607,20,0,7.0,5.656854249,11595,0,2901.75,5795.50069,118.8216584,0.122254986,8923227.818,29400000.0,97600000,6,98200000,14000000.0,36800000.0,97600000,48,1303,434.3333333,453.8549695,910,6,0,0,0,0,172,92,0.081503324,0.040751662,0,11595,897.6153846,3214.167532,10300000.0,0,0,0,0,1,0,0,0,0,972.4166667,7.0,2901.75,172,0,0,0,0,0,0,8,56,4,11607,256,229,6,20,570269.0,0.0,570269,570269,97600000.0,0.0,97600000,97600000,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
53,193,2,2,82,152,41,41,41.0,0.0,76,76,76.0,0.0,1212435.233,20725.3886,64.33333333,69.28443789,140,4,4,4.0,0.0,4,4,49,49.0,0.0,49,49,0,0,0,0,40,40,10362.6943,10362.6943,41,76,55.0,19.17028951,367.5,0,0,0,0,0,0,0,0,1,68.75,41.0,76.0,40,0,0,0,0,0,0,2,82,2,152,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
80,84010461,7,4,316,11595,310,0,45.14285714,116.812426,8688,0,2898.75,4095.56617,141.7799624,0.130936075,8401046.1,26500000.0,83900000,1,83900000,14000000.0,34200000.0,83900000,1,140775,46925.0,70913.34242,128521,188,0,0,0,0,220,136,0.083322957,0.047613118,0,8688,992.5833333,2562.056506,6564133.538,0,0,0,0,1,0,0,0,0,1082.818182,45.14285714,2898.75,220,0,0,0,0,0,0,7,316,4,11595,296,235,2,20,5.0,0.0,5,5,83900000.0,0.0,83900000,83900000,DoS Hulk,1,Wednesday-workingHours.pcap_ISCX.csv
80,3762788,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,7.972811649,1.328801942,940697.0,1880187.394,3760978,217,3762788,940697.0,1880187.394,3760978,217,0,0.0,0.0,0,0,0,0,0,0,100,0,1.328801942,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
53048,78,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25641.02564,78.0,0.0,78,78,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12820.51282,12820.51282,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,57,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Tuesday-WorkingHours.pcap_ISCX.csv
80,85013283,6,5,366,11595,366,0,61.0,149.4188743,5792,0,2319.0,3170.403917,140.6956605,0.129391545,8501328.3,26800000.0,84900000,4,84900000,17000000.0,38000000.0,84900000,4,147593,36898.25,66520.07341,136382,73,0,0,0,0,200,168,0.070577206,0.058814338,0,5792,996.75,2242.289379,5027861.659,0,0,0,0,1,0,0,0,0,1087.363636,61.0,2319.0,200,0,0,0,0,0,0,6,366,5,11595,251,235,1,32,984.0,0.0,984,984,84900000.0,0.0,84900000,84900000,DoS Hulk,1,Wednesday-workingHours.pcap_ISCX.csv
53,193,2,2,60,360,30,30,30.0,0.0,180,180,180.0,0.0,2176165.803,20725.3886,64.33333333,107.1089788,188,1,4,4.0,0.0,4,4,1,1.0,0.0,1,1,0,0,0,0,40,40,10362.6943,10362.6943,30,180,90.0,82.15838363,6750.0,0,0,0,0,0,0,0,0,1,112.5,30.0,180.0,40,0,0,0,0,0,0,2,60,2,360,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Wednesday-workingHours.pcap_ISCX.csv
55940,7039664,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,5.113880435,0.852313406,1407932.8,3127318.8,7002193,1,0,0.0,0.0,0,0,7005820,1751455.0,3500492.416,7002193,1,0,0,0,0,20,100,0.142052234,0.710261172,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,37471.0,0.0,37471,37471,7002193.0,0.0,7002193,7002193,BENIGN,0,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
53,256,2,2,68,388,34,34,34.0,0.0,194,194,194.0,0.0,1781250.0,15625.0,85.33333333,143.479383,251,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,64,64,7812.5,7812.5,34,194,98.0,87.6356092,7680.0,0,0,0,0,0,0,0,0,1,122.5,34.0,194.0,64,0,0,0,0,0,0,2,68,2,388,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Tuesday-WorkingHours.pcap_ISCX.csv
51646,55,2,1,31,6,31,0,15.5,21.92031022,6,6,6.0,0.0,672727.2727,54545.45455,27.5,34.64823228,52,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,20,36363.63636,18181.81818,0,31,17.0,16.35033129,267.3333333,0,1,0,0,1,0,0,0,0,22.66666667,15.5,6.0,64,0,0,0,0,0,0,2,31,1,6,1043,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Wednesday-workingHours.pcap_ISCX.csv
80,98362832,8,6,339,11595,339,0,42.375,119.8545994,4344,0,1932.5,1754.831473,121.3263156,0.142330184,7566371.692,27300000.0,98300000,1,98300000,14000000.0,37100000.0,98300000,1,72545,14509.0,26082.38333,60245,41,0,0,0,0,264,200,0.081331534,0.06099865,0,4344,795.6,1424.899385,2030338.257,0,0,0,0,1,0,0,0,0,852.4285714,42.375,1932.5,264,0,0,0,0,0,0,8,339,6,11595,274,235,1,32,1011.0,0.0,1011,1011,98300000.0,0.0,98300000,98300000,DoS Hulk,1,Wednesday-workingHours.pcap_ISCX.csv
55260,2053,3,0,18,0,6,6,6.0,0.0,0,0,0.0,0.0,8767.657087,1461.276181,1026.5,1450.276008,2052,1,2053,1026.5,1450.276008,2052,1,0,0.0,0.0,0,0,0,0,0,0,60,0,1461.276181,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,8.0,6.0,0.0,60,0,0,0,0,0,0,3,18,0,0,362,-1,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
53,307764,2,2,80,188,40,40,40.0,0.0,94,94,94.0,0.0,870.7971043,12.99697171,102588.0,177683.2981,307759,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,40,40,6.498485853,6.498485853,40,94,61.6,29.57701811,874.8,0,0,0,0,0,0,0,0,1,77.0,40.0,94.0,40,0,0,0,0,0,0,2,80,2,188,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Wednesday-workingHours.pcap_ISCX.csv
9636,49,3,0,31,0,31,0,10.33333333,17.89785834,0,0,0.0,0.0,632653.0612,61224.4898,24.5,33.23401872,48,1,49,24.5,33.23401872,48,1,0,0.0,0.0,0,0,0,0,0,0,60,0,61224.4898,0.0,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,10.33333333,0.0,60,0,0,0,0,0,0,3,31,0,0,114,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Tuesday-WorkingHours.pcap_ISCX.csv
53,46073,2,2,88,192,44,44,44.0,0.0,96,96,96.0,0.0,6077.312092,86.81874417,15357.66667,26555.23559,46021,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,40,40,43.40937208,43.40937208,44,96,64.8,28.48157299,811.2,0,0,0,0,0,0,0,0,1,81.0,44.0,96.0,40,0,0,0,0,0,0,2,88,2,192,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Tuesday-WorkingHours.pcap_ISCX.csv
80,148503,3,6,339,11595,339,0,113.0,195.7217413,4344,0,1932.5,1754.831473,80362.01289,60.60483627,18562.875,47637.87939,136095,16,12147,6073.5,6968.537329,11001,1146,148419,29683.8,59754.43465,136178,16,0,0,0,0,104,200,20.20161209,40.40322418,0,4344,1193.4,1621.980627,2630821.156,0,0,0,1,0,0,0,0,2,1326.0,113.0,1932.5,104,0,0,0,0,0,0,3,339,6,11595,29200,235,1,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk,1,Wednesday-workingHours.pcap_ISCX.csv
80,11970697,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,2.506119736,0.417686623,2992674.25,5984007.185,12000000,3,12000000,2992674.25,5984007.185,12000000,3,0,0.0,0.0,0,0,0,0,0,0,100,0,0.417686623,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2012.0,0.0,2012,2012,12000000.0,0.0,12000000,12000000,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
53,57288,1,1,55,110,55,55,55.0,0.0,110,110,110.0,0.0,2880.184332,34.91132523,57288.0,0.0,57288,57288,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,17.45566262,17.45566262,55,110,73.33333333,31.75426481,1008.333333,0,0,0,0,0,0,0,0,1,110.0,55.0,110.0,20,0,0,0,0,0,0,1,55,1,110,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Tuesday-WorkingHours.pcap_ISCX.csv
443,15604,4,1,190,0,178,0,47.5,87.04596487,0,0,0.0,0.0,12176.36503,320.4306588,3901.0,7500.304838,15151,61,15604,5201.333333,8669.536858,15212,168,0,0.0,0.0,0,0,0,0,0,0,100,32,256.344527,64.08613176,0,178,31.66666667,71.74863529,5147.866667,0,0,0,1,0,0,0,0,0,38.0,47.5,0.0,100,0,0,0,0,0,0,4,190,1,0,29200,29200,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv
80,237954,5,3,473,313,473,0,94.6,211.5320306715,313,0,104.3333333333,180.7106342564,3303.1594341764,33.6199433504,33993.4285714286,42517.3882110098,87666,67,237954,59488.5,41601.2929967327,89936,500,149960,74980.0,102922.220428827,147757,2203,0,0,0,0,172,104,21.012464594,12.6074787564,0,473,87.3333333333,177.8531697778,31631.75,0,0,0,1,0,0,0,0,0,98.25,94.6,104.3333333333,172,0,0,0,0,0,0,5,473,3,313,65535,230,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Monday-WorkingHours.pcap_ISCX.csv
443,4313326,3,1,32,0,31,0,10.66666667,17.61628035,0,0,0.0,0.0,7.418868873,0.927358609,1437775.333,2469595.192,4289385,48,4313326,2156663.0,3049914.182,4313278,48,0,0.0,0.0,0,0,0,0,0,0,60,32,0.695518957,0.231839652,0,31,6.6,13.6491758,186.3,0,0,0,0,1,0,0,0,0,8.25,10.66666667,0.0,60,0,0,0,0,0,0,3,32,1,0,256,1403,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Tuesday-WorkingHours.pcap_ISCX.csv
53,224876,1,1,48,142,48,48,48.0,0.0,142,142,142.0,0.0,844.9100838,8.893790356,224876.0,0.0,224876,224876,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,4.446895178,4.446895178,48,142,79.33333333,54.2709253,2945.333333,0,0,0,0,0,0,0,0,1,119.0,48.0,142.0,32,0,0,0,0,0,0,1,48,1,142,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
53,31782,2,2,86,208,43,43,43.0,0.0,104,104,104.0,0.0,9250.519162,125.8574036,10594.0,18306.92609,31733,1,48,48.0,0.0,48,48,1,1.0,0.0,1,1,0,0,0,0,64,40,62.92870178,62.92870178,43,104,67.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,84.25,43.0,104.0,64,0,0,0,0,0,0,2,86,2,208,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
53,60627,2,2,68,230,34,34,34.0,0.0,115,115,115.0,0.0,4915.301763,65.97720488,20209.0,34999.55068,60623,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,80,64,32.98860244,32.98860244,34,115,66.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,83.0,34.0,115.0,80,0,0,0,0,0,0,2,68,2,230,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
80,100574716,8,6,348,11595,348,0,43.5,123.0365799,4344,0,1932.5,1754.831473,118.7475389,0.139199995,7736516.615,27800000.0,100000000,0,100000000,14300000.0,38000000.0,100000000,0,155317,31063.4,62342.26218,142144,48,0,0,0,0,264,200,0.079542854,0.059657141,0,4344,796.2,1424.695266,2029756.6,0,0,0,0,1,0,0,0,0,853.0714286,43.5,1932.5,264,0,0,0,0,0,0,8,348,6,11595,251,235,1,32,987.0,0.0,987,987,100000000.0,0.0,100000000,100000000,DoS Hulk,1,Wednesday-workingHours.pcap_ISCX.csv
53,60431,1,1,64,117,64,64,64.0,0.0,117,117,117.0,0.0,2995.151495,33.09559663,60431.0,0.0,60431,60431,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,16.54779832,16.54779832,64,117,81.66666667,30.59956427,936.3333333,0,0,0,0,0,0,0,0,1,122.5,64.0,117.0,32,0,0,0,0,0,0,1,64,1,117,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Tuesday-WorkingHours.pcap_ISCX.csv
53,195,2,2,104,360,52,52,52.0,0.0,180,180,180.0,0.0,2379487.17948718,20512.8205128205,65.0,106.5222981352,188,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,10256.4102564103,10256.4102564103,52,180,103.2,70.1084873607,4915.2,0,0,0,0,0,0,0,0,1,129.0,52.0,180.0,64,0,0,0,0,0,0,2,104,2,360,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Monday-WorkingHours.pcap_ISCX.csv
53,139,2,2,98,130,49,49,49.0,0.0,65,65,65.0,0.0,1640287.76978417,28776.9784172662,46.3333333333,73.3234841871,131,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,14388.4892086331,14388.4892086331,49,65,55.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,69.25,49.0,65.0,64,0,0,0,0,0,0,2,98,2,130,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Monday-WorkingHours.pcap_ISCX.csv
53,201,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,796019.900497512,19900.4975124378,67.0,74.3437959752,149,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,64,64,9950.2487562189,9950.2487562189,32,48,38.4,8.7635609201,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Monday-WorkingHours.pcap_ISCX.csv
443,5420352,8,6,391,3716,210,0,48.875,77.43280497,1460,0,619.3333333,679.9090135,757.6998689,2.582858087,416950.1538,1411429.937,5111185,48,5420352,774336.0,1914031.206,5111185,71,82380,16476.0,21509.846,46547,48,0,0,0,0,172,132,1.475918907,1.10693918,0,1460,273.8,503.5168035,253529.1714,0,0,0,1,0,0,0,0,0,293.3571429,48.875,619.3333333,172,0,0,0,0,0,0,8,391,6,3716,8192,119,7,20,309096.0,0.0,309096,309096,5111185.0,0.0,5111185,5111185,BENIGN,0,Wednesday-workingHours.pcap_ISCX.csv
443,119997968,23,20,1736,1302,805,6,75.47826087,230.1951484,597,6,65.1,181.9059618,25.31709537,0.358339401,2857094.476,4478636.497,10000000,3,120000000,5447955.545,5059424.04,10100000,3,110000000,5789411.421,4952081.695,10100000,142906,0,0,0,0,460,400,0.191669912,0.166669489,6,805,69.18181818,204.5823053,41853.91966,0,0,0,0,1,0,0,0,0,70.79069767,75.47826087,65.1,460,0,0,0,0,0,0,23,1736,20,1302,65535,65535,22,20,152752.0909,20447.04801,194308,143093,9847879.083,331818.9132,10000000,9137594,BENIGN,0,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
443,143504,20,31,871,42310,389,0,43.55,103.3779346,2896,0,1364.83871,639.6591851,300904.5044,355.3907905,2870.08,6769.340944,23946,1,143504,7552.842105,9973.659711,24778,1,118056,3935.2,9849.797153,43788,48,0,0,0,0,652,1000,139.3689375,216.021853,0,2896,830.4038462,821.3398728,674599.1867,0,0,0,1,0,0,0,0,1,846.6862745,43.55,1364.83871,652,0,0,0,0,0,0,20,871,31,42310,65535,122,6,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Tuesday-WorkingHours.pcap_ISCX.csv
60258,213,2,1,37,6,31,6,18.5,17.67766953,6,6,6.0,0.0,201877.9343,14084.50704,106.5,10.60660172,114,99,213,213.0,0.0,213,213,0,0.0,0.0,0,0,1,0,0,0,40,20,9389.671362,4694.835681,6,31,18.5,14.43375673,208.3333333,0,1,0,0,1,0,0,0,0,24.66666667,18.5,6.0,40,0,0,0,0,0,0,2,37,1,6,31,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0,Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
