example_id,base_context_id,task_type,ids_label,confidence_band,provenance_type,review_status,reviewer_decision,reviewer_notes
trustsecai-gold-v0-00407,ctx-ftp_patator-vulnerability_focus-afc99fd0,threat_hunting_followup,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00437,ctx-ftp_patator-detection_focus-e7c207b7,threat_hunting_followup,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00345,ctx-ftp_patator-sparse-48e39ae3,mitigation_detection,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00401,ctx-ftp_patator-vulnerability_focus-afc99fd0,mitigation_detection,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00347,ctx-ftp_patator-sparse-48e39ae3,attack_mapping,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00441,ctx-ftp_patator-alternate_entities-2c649af2,attack_mapping,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00365,ctx-ftp_patator-mitigation_focus-b851d1b8,multi_turn_analyst_interaction,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00343,ctx-ftp_patator-sparse-48e39ae3,multi_turn_analyst_interaction,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00445,ctx-ftp_patator-alternate_entities-2c649af2,executive_summary,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00364,ctx-ftp_patator-mitigation_focus-b851d1b8,executive_summary,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00397,ctx-ftp_patator-usage_context-94786fa5,uncertainty_evidence_gap,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00406,ctx-ftp_patator-vulnerability_focus-afc99fd0,uncertainty_evidence_gap,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00535,ctx-portscan-mitigation_focus-690e9fa2,executive_summary,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00500,ctx-portscan-focused-903cda7f,executive_summary,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00591,ctx-portscan-detection_focus-c16e5309,uncertainty_evidence_gap,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00566,ctx-portscan-vulnerability_focus-016f5d0b,uncertainty_evidence_gap,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00523,ctx-portscan-mitigation_focus-690e9fa2,mitigation_detection,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00498,ctx-portscan-focused-903cda7f,mitigation_detection,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00546,ctx-portscan-usage_context-45d8f3e2,attack_mapping,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00563,ctx-portscan-vulnerability_focus-016f5d0b,attack_mapping,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00492,ctx-portscan-focused-903cda7f,soc_incident_assessment,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00613,ctx-portscan-alternate_entities-11f5a4de,soc_incident_assessment,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00475,ctx-portscan-full-a8b0f72f,vulnerability_context,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00479,ctx-portscan-full-a8b0f72f,vulnerability_context,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00551,ctx-portscan-usage_context-45d8f3e2,threat_hunting_followup,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00524,ctx-portscan-mitigation_focus-690e9fa2,threat_hunting_followup,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00493,ctx-portscan-focused-903cda7f,multi_turn_analyst_interaction,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00554,ctx-portscan-usage_context-45d8f3e2,multi_turn_analyst_interaction,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00734,ctx-web_attack_sql_injection-detection_focus-ffd88778,attack_mapping,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00729,ctx-web_attack_sql_injection-detection_focus-ffd88778,attack_mapping,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00741,ctx-web_attack_sql_injection-alternate_entities-59e83f71,vulnerability_context,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00623,ctx-web_attack_sql_injection-full-a865e1f0,vulnerability_context,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00706,ctx-web_attack_sql_injection-usage_context-7d91e617,threat_hunting_followup,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00657,ctx-web_attack_sql_injection-focused-5c30810f,threat_hunting_followup,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00707,ctx-web_attack_sql_injection-usage_context-7d91e617,uncertainty_evidence_gap,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00663,ctx-web_attack_sql_injection-sparse-66b6a069,uncertainty_evidence_gap,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00715,ctx-web_attack_sql_injection-usage_context-7d91e617,mitigation_detection,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00727,ctx-web_attack_sql_injection-detection_focus-ffd88778,mitigation_detection,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00695,ctx-web_attack_sql_injection-mitigation_focus-4d7daad7,multi_turn_analyst_interaction,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00662,ctx-web_attack_sql_injection-sparse-66b6a069,multi_turn_analyst_interaction,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00747,ctx-web_attack_sql_injection-alternate_entities-59e83f71,soc_incident_assessment,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00667,ctx-web_attack_sql_injection-sparse-66b6a069,soc_incident_assessment,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00661,ctx-web_attack_sql_injection-sparse-66b6a069,executive_summary,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00646,ctx-web_attack_sql_injection-focused-5c30810f,executive_summary,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00340,ctx-ftp_patator-focused-0b5b9c0a,multi_turn_analyst_interaction,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00686,ctx-web_attack_sql_injection-mitigation_focus-4d7daad7,mitigation_detection,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00555,ctx-portscan-usage_context-45d8f3e2,vulnerability_context,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00431,ctx-ftp_patator-detection_focus-e7c207b7,soc_incident_assessment,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00348,ctx-ftp_patator-sparse-48e39ae3,soc_incident_assessment,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00115,ctx-bot-alternate_entities-ca61c22b,soc_incident_assessment,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00701,ctx-web_attack_sql_injection-usage_context-7d91e617,uncertainty_evidence_gap,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00651,ctx-web_attack_sql_injection-focused-5c30810f,uncertainty_evidence_gap,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00724,ctx-web_attack_sql_injection-detection_focus-ffd88778,soc_incident_assessment,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00581,ctx-portscan-detection_focus-c16e5309,attack_mapping,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00321,ctx-ftp_patator-focused-0b5b9c0a,mitigation_detection,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00077,ctx-bot-usage_context-b6fb02bd,attack_mapping,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00464,ctx-portscan-full-a8b0f72f,mitigation_detection,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00473,ctx-portscan-full-a8b0f72f,soc_incident_assessment,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00047,ctx-bot-mitigation_focus-8e263beb,threat_hunting_followup,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00051,ctx-bot-mitigation_focus-8e263beb,soc_incident_assessment,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00558,ctx-portscan-usage_context-45d8f3e2,soc_incident_assessment,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00391,ctx-ftp_patator-usage_context-94786fa5,mitigation_detection,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00151,ctx-ddos-full-94d43359,soc_incident_assessment,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00576,ctx-portscan-vulnerability_focus-016f5d0b,vulnerability_context,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00126,ctx-ddos-full-feb846f2,mitigation_detection,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00394,ctx-ftp_patator-usage_context-94786fa5,soc_incident_assessment,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00708,ctx-web_attack_sql_injection-usage_context-7d91e617,attack_mapping,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00153,ctx-ddos-full-94d43359,mitigation_detection,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00756,ctx-web_attack_sql_injection-alternate_entities-59e83f71,soc_incident_assessment,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00027,ctx-bot-sparse-307bb0c4,mitigation_detection,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00031,ctx-bot-sparse-307bb0c4,attack_mapping,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00410,ctx-ftp_patator-vulnerability_focus-afc99fd0,attack_mapping,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00511,ctx-portscan-sparse-a53a478c,attack_mapping,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00132,ctx-ddos-full-feb846f2,multi_turn_analyst_interaction,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00653,ctx-web_attack_sql_injection-focused-5c30810f,attack_mapping,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00720,ctx-web_attack_sql_injection-usage_context-7d91e617,soc_incident_assessment,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00685,ctx-web_attack_sql_injection-mitigation_focus-4d7daad7,soc_incident_assessment,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00124,ctx-ddos-full-feb846f2,executive_summary,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00039,ctx-bot-sparse-307bb0c4,uncertainty_evidence_gap,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00530,ctx-portscan-mitigation_focus-690e9fa2,mitigation_detection,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00669,ctx-web_attack_sql_injection-sparse-66b6a069,threat_hunting_followup,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00369,ctx-ftp_patator-mitigation_focus-b851d1b8,attack_mapping,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00387,ctx-ftp_patator-usage_context-94786fa5,attack_mapping,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00509,ctx-portscan-sparse-a53a478c,uncertainty_evidence_gap,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00638,ctx-web_attack_sql_injection-full-a865e1f0,soc_incident_assessment,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00081,ctx-bot-detection_focus-62e2217f,mitigation_detection,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00673,ctx-web_attack_sql_injection-sparse-66b6a069,vulnerability_context,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00179,ctx-ddos-full-ecb49bb9,attack_mapping,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00367,ctx-ftp_patator-mitigation_focus-b851d1b8,uncertainty_evidence_gap,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00502,ctx-portscan-sparse-a53a478c,uncertainty_evidence_gap,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00627,ctx-web_attack_sql_injection-full-a865e1f0,attack_mapping,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00525,ctx-portscan-mitigation_focus-690e9fa2,soc_incident_assessment,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00444,ctx-ftp_patator-alternate_entities-2c649af2,threat_hunting_followup,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00242,ctx-ddos-mitigation_focus-09741b10,executive_summary,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00578,ctx-portscan-vulnerability_focus-016f5d0b,mitigation_detection,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00427,ctx-ftp_patator-detection_focus-e7c207b7,soc_incident_assessment,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00194,ctx-ddos-sparse-650daece,soc_incident_assessment,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00562,ctx-portscan-vulnerability_focus-016f5d0b,soc_incident_assessment,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00494,ctx-portscan-focused-903cda7f,threat_hunting_followup,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00649,ctx-web_attack_sql_injection-focused-5c30810f,threat_hunting_followup,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00173,ctx-ddos-full-ecb49bb9,mitigation_detection,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00461,ctx-portscan-full-a8b0f72f,executive_summary,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00098,ctx-bot-detection_focus-62e2217f,threat_hunting_followup,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00483,ctx-portscan-focused-903cda7f,soc_incident_assessment,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00640,ctx-web_attack_sql_injection-full-a865e1f0,executive_summary,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00602,ctx-portscan-alternate_entities-11f5a4de,threat_hunting_followup,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00382,ctx-ftp_patator-usage_context-94786fa5,executive_summary,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00631,ctx-web_attack_sql_injection-full-a865e1f0,soc_incident_assessment,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00120,ctx-bot-alternate_entities-ca61c22b,soc_incident_assessment,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00472,ctx-portscan-full-a8b0f72f,soc_incident_assessment,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00594,ctx-portscan-detection_focus-c16e5309,vulnerability_context,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00152,ctx-ddos-full-94d43359,attack_mapping,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00295,ctx-ddos-mitigation_focus-d97b40db,threat_hunting_followup,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00128,ctx-ddos-full-feb846f2,mitigation_detection,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00241,ctx-ddos-mitigation_focus-09741b10,attack_mapping,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00670,ctx-web_attack_sql_injection-sparse-66b6a069,soc_incident_assessment,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00636,ctx-web_attack_sql_injection-full-a865e1f0,mitigation_detection,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00456,ctx-ftp_patator-alternate_entities-2c649af2,attack_mapping,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00587,ctx-portscan-detection_focus-c16e5309,soc_incident_assessment,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00160,ctx-ddos-full-94d43359,soc_incident_assessment,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00176,ctx-ddos-full-ecb49bb9,mitigation_detection,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00197,ctx-ddos-sparse-650daece,attack_mapping,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00450,ctx-ftp_patator-alternate_entities-2c649af2,uncertainty_evidence_gap,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00462,ctx-portscan-full-a8b0f72f,executive_summary,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00301,ctx-ftp_patator-full-0c976f28,soc_incident_assessment,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00439,ctx-ftp_patator-detection_focus-e7c207b7,mitigation_detection,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00745,ctx-web_attack_sql_injection-alternate_entities-59e83f71,executive_summary,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00258,ctx-ddos-mitigation_focus-09741b10,executive_summary,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00154,ctx-ddos-full-94d43359,executive_summary,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00702,ctx-web_attack_sql_injection-usage_context-7d91e617,soc_incident_assessment,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00019,ctx-bot-full-9ad6c351,soc_incident_assessment,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00480,ctx-portscan-full-a8b0f72f,threat_hunting_followup,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00643,ctx-web_attack_sql_injection-focused-5c30810f,soc_incident_assessment,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00273,ctx-ddos-mitigation_focus-f783c3a7,mitigation_detection,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00574,ctx-portscan-vulnerability_focus-016f5d0b,vulnerability_context,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00482,ctx-portscan-focused-903cda7f,mitigation_detection,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00497,ctx-portscan-focused-903cda7f,uncertainty_evidence_gap,PortScan,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00318,ctx-ftp_patator-full-0c976f28,uncertainty_evidence_gap,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00665,ctx-web_attack_sql_injection-sparse-66b6a069,uncertainty_evidence_gap,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00660,ctx-web_attack_sql_injection-focused-5c30810f,mitigation_detection,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00127,ctx-ddos-full-feb846f2,threat_hunting_followup,DDoS,high,direct,candidate_unreviewed,,
trustsecai-gold-v0-00327,ctx-ftp_patator-focused-0b5b9c0a,soc_incident_assessment,FTP-Patator,unavailable,mixed_direct_and_inferred,candidate_unreviewed,,
trustsecai-gold-v0-00037,ctx-bot-sparse-307bb0c4,mitigation_detection,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00116,ctx-bot-alternate_entities-ca61c22b,multi_turn_analyst_interaction,Bot,unavailable,direct,candidate_unreviewed,,
trustsecai-gold-v0-00684,ctx-web_attack_sql_injection-mitigation_focus-4d7daad7,threat_hunting_followup,Web Attack - Sql Injection,unavailable,direct,candidate_unreviewed,,
