example_id,base_context_id,sample_id,ids_label,model_prediction,model_confidence,confidence_band,task_type,difficulty,provenance_type,has_real_shap,has_cve,source_file,review_status,reviewer_decision,reviewer_notes
trustsecai-gold-v1-00127,evx-ddos-135033,135033,DDoS,ATTACK,0.999998927116394,high,threat_hunting_followup,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00132,evx-ddos-135033,135033,DDoS,ATTACK,0.999998927116394,high,soc_incident_assessment,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00133,evx-ddos-135033,135033,DDoS,ATTACK,0.999998927116394,high,uncertainty_evidence_gap,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00022,evx-ddos-36286,36286,DDoS,ATTACK,0.9999951124191284,high,multi_turn_analyst_interaction,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00163,evx-ddos-185954,185954,DDoS,ATTACK,0.9999990463256836,high,vulnerability_context,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00048,evx-ddos-54067,54067,DDoS,ATTACK,0.999997615814209,high,executive_summary,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00026,evx-ddos-36286,36286,DDoS,ATTACK,0.9999951124191284,high,mitigation_detection,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00167,evx-ddos-185954,185954,DDoS,ATTACK,0.9999990463256836,high,soc_incident_assessment,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00028,evx-ddos-36286,36286,DDoS,ATTACK,0.9999951124191284,high,threat_hunting_followup,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00035,evx-ddos-47190,47190,DDoS,ATTACK,0.999998927116394,high,soc_incident_assessment,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00096,evx-ddos-96822,96822,DDoS,ATTACK,0.9999995231628418,high,vulnerability_context,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00036,evx-ddos-49118,49118,DDoS,ATTACK,0.9999991655349731,high,attack_mapping,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00097,evx-ddos-96822,96822,DDoS,ATTACK,0.9999995231628418,high,threat_hunting_followup,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00098,evx-ddos-96822,96822,DDoS,ATTACK,0.9999995231628418,high,soc_incident_assessment,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00040,evx-ddos-49118,49118,DDoS,ATTACK,0.9999991655349731,high,multi_turn_analyst_interaction,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00134,evx-ddos-150294,150294,DDoS,ATTACK,0.9999994039535522,high,executive_summary,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00166,evx-ddos-185954,185954,DDoS,ATTACK,0.9999990463256836,high,attack_mapping,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00049,evx-ddos-54067,54067,DDoS,ATTACK,0.999997615814209,high,threat_hunting_followup,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00051,evx-ddos-57835,57835,DDoS,ATTACK,0.9999994039535522,high,uncertainty_evidence_gap,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00128,evx-ddos-135033,135033,DDoS,ATTACK,0.999998927116394,high,mitigation_detection,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00055,evx-ddos-57835,57835,DDoS,ATTACK,0.9999994039535522,high,multi_turn_analyst_interaction,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00109,evx-ddos-105379,105379,DDoS,ATTACK,0.9999991655349731,high,soc_incident_assessment,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00058,evx-ddos-66073,66073,DDoS,ATTACK,0.999998927116394,high,vulnerability_context,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00061,evx-ddos-66073,66073,DDoS,ATTACK,0.999998927116394,high,attack_mapping,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00063,evx-ddos-66073,66073,DDoS,ATTACK,0.999998927116394,high,mitigation_detection,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00168,evx-ddos-185954,185954,DDoS,ATTACK,0.9999990463256836,high,multi_turn_analyst_interaction,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00149,evx-ddos-169905,169905,DDoS,ATTACK,0.9999970197677612,high,vulnerability_context,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00071,evx-ddos-82628,82628,DDoS,ATTACK,0.9999997615814209,high,soc_incident_assessment,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00072,evx-ddos-82628,82628,DDoS,ATTACK,0.9999997615814209,high,threat_hunting_followup,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00121,evx-ddos-122739,122739,DDoS,ATTACK,0.9999997615814209,high,executive_summary,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00074,evx-ddos-82628,82628,DDoS,ATTACK,0.9999997615814209,high,soc_incident_assessment,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00075,evx-ddos-82628,82628,DDoS,ATTACK,0.9999997615814209,high,uncertainty_evidence_gap,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00104,evx-ddos-97570,97570,DDoS,ATTACK,0.9999997615814209,high,multi_turn_analyst_interaction,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00077,evx-ddos-82628,82628,DDoS,ATTACK,0.9999997615814209,high,mitigation_detection,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00106,evx-ddos-105379,105379,DDoS,ATTACK,0.9999991655349731,high,uncertainty_evidence_gap,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00136,evx-ddos-150294,150294,DDoS,ATTACK,0.9999994039535522,high,threat_hunting_followup,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00105,evx-ddos-97570,97570,DDoS,ATTACK,0.9999997615814209,high,soc_incident_assessment,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00158,evx-ddos-178462,178462,DDoS,ATTACK,0.9999997615814209,high,threat_hunting_followup,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00087,evx-ddos-83915,83915,DDoS,ATTACK,0.9999997615814209,high,attack_mapping,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00088,evx-ddos-83915,83915,DDoS,ATTACK,0.9999997615814209,high,uncertainty_evidence_gap,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00125,evx-ddos-122739,122739,DDoS,ATTACK,0.9999997615814209,high,multi_turn_analyst_interaction,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00090,evx-ddos-83915,83915,DDoS,ATTACK,0.9999997615814209,high,vulnerability_context,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00093,evx-ddos-96822,96822,DDoS,ATTACK,0.9999995231628418,high,executive_summary,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00094,evx-ddos-96822,96822,DDoS,ATTACK,0.9999995231628418,high,mitigation_detection,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00159,evx-ddos-178462,178462,DDoS,ATTACK,0.9999997615814209,high,vulnerability_context,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00100,evx-ddos-97570,97570,DDoS,ATTACK,0.9999997615814209,high,attack_mapping,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00126,evx-ddos-122739,122739,DDoS,ATTACK,0.9999997615814209,high,mitigation_detection,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00146,evx-ddos-153289,153289,DDoS,ATTACK,0.9999990463256836,high,soc_incident_assessment,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00115,evx-ddos-116436,116436,DDoS,ATTACK,0.9999969005584717,high,mitigation_detection,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00116,evx-ddos-116436,116436,DDoS,ATTACK,0.9999969005584717,high,attack_mapping,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00117,evx-ddos-116436,116436,DDoS,ATTACK,0.9999969005584717,high,executive_summary,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00119,evx-ddos-116436,116436,DDoS,ATTACK,0.9999969005584717,high,multi_turn_analyst_interaction,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00120,evx-ddos-122739,122739,DDoS,ATTACK,0.9999997615814209,high,vulnerability_context,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00122,evx-ddos-122739,122739,DDoS,ATTACK,0.9999997615814209,high,attack_mapping,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00145,evx-ddos-153289,153289,DDoS,ATTACK,0.9999990463256836,high,multi_turn_analyst_interaction,easy,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00152,evx-ddos-169905,169905,DDoS,ATTACK,0.9999970197677612,high,mitigation_detection,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00162,evx-ddos-185954,185954,DDoS,ATTACK,0.9999990463256836,high,threat_hunting_followup,medium,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00164,evx-ddos-185954,185954,DDoS,ATTACK,0.9999990463256836,high,uncertainty_evidence_gap,expert,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00171,evx-ddos-189854,189854,DDoS,ATTACK,0.9999990463256836,high,uncertainty_evidence_gap,hard,direct,True,False,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00176,evx-portscan-308785,308785,PortScan,ATTACK,0.9986056685447693,high,multi_turn_analyst_interaction,expert,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00177,evx-portscan-308785,308785,PortScan,ATTACK,0.9986056685447693,high,threat_hunting_followup,easy,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00178,evx-portscan-308785,308785,PortScan,ATTACK,0.9986056685447693,high,soc_incident_assessment,medium,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00231,evx-portscan-332419,332419,PortScan,ATTACK,0.9990082383155823,high,mitigation_detection,hard,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00180,evx-portscan-308785,308785,PortScan,ATTACK,0.9986056685447693,high,attack_mapping,expert,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00181,evx-portscan-308785,308785,PortScan,ATTACK,0.9986056685447693,high,vulnerability_context,easy,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00226,evx-portscan-332419,332419,PortScan,ATTACK,0.9990082383155823,high,uncertainty_evidence_gap,medium,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00183,evx-portscan-313230,313230,PortScan,ATTACK,0.9981010556221008,high,uncertainty_evidence_gap,hard,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00192,evx-portscan-313231,313231,PortScan,ATTACK,0.9989203214645386,high,attack_mapping,expert,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00193,evx-portscan-313231,313231,PortScan,ATTACK,0.9989203214645386,high,soc_incident_assessment,easy,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00186,evx-portscan-313230,313230,PortScan,ATTACK,0.9981010556221008,high,soc_incident_assessment,medium,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00235,evx-portscan-334467,334467,PortScan,ATTACK,0.9970009922981262,high,executive_summary,hard,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00224,evx-portscan-331395,331395,PortScan,ATTACK,0.9986873269081116,high,multi_turn_analyst_interaction,expert,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00189,evx-portscan-313230,313230,PortScan,ATTACK,0.9981010556221008,high,threat_hunting_followup,easy,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00270,evx-portscan-343456,343456,PortScan,ATTACK,0.998296320438385,high,vulnerability_context,medium,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00239,evx-portscan-336318,336318,PortScan,ATTACK,0.9986405968666077,high,multi_turn_analyst_interaction,hard,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00196,evx-portscan-313231,313231,PortScan,ATTACK,0.9989203214645386,high,mitigation_detection,expert,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00197,evx-portscan-316005,316005,PortScan,ATTACK,0.9990178346633911,high,mitigation_detection,easy,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00198,evx-portscan-316005,316005,PortScan,ATTACK,0.9990178346633911,high,vulnerability_context,medium,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00199,evx-portscan-316005,316005,PortScan,ATTACK,0.9990178346633911,high,uncertainty_evidence_gap,hard,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00200,evx-portscan-316005,316005,PortScan,ATTACK,0.9990178346633911,high,soc_incident_assessment,expert,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00201,evx-portscan-316005,316005,PortScan,ATTACK,0.9990178346633911,high,multi_turn_analyst_interaction,easy,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00202,evx-portscan-316005,316005,PortScan,ATTACK,0.9990178346633911,high,attack_mapping,medium,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00203,evx-portscan-316005,316005,PortScan,ATTACK,0.9990178346633911,high,executive_summary,hard,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00248,evx-portscan-337662,337662,PortScan,ATTACK,0.9995525479316711,high,executive_summary,expert,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00262,evx-portscan-341280,341280,PortScan,ATTACK,0.9887872338294983,high,uncertainty_evidence_gap,medium,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00207,evx-portscan-317893,317893,PortScan,ATTACK,0.9970899820327759,high,attack_mapping,hard,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00208,evx-portscan-317893,317893,PortScan,ATTACK,0.9970899820327759,high,threat_hunting_followup,expert,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00209,evx-portscan-317893,317893,PortScan,ATTACK,0.9970899820327759,high,mitigation_detection,easy,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00213,evx-portscan-326038,326038,PortScan,ATTACK,0.9979674220085144,high,attack_mapping,easy,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00222,evx-portscan-331395,331395,PortScan,ATTACK,0.9986873269081116,high,executive_summary,medium,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00251,evx-portscan-337662,337662,PortScan,ATTACK,0.9995525479316711,high,soc_incident_assessment,hard,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00216,evx-portscan-326038,326038,PortScan,ATTACK,0.9979674220085144,high,vulnerability_context,expert,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00266,evx-portscan-341280,341280,PortScan,ATTACK,0.9887872338294983,high,attack_mapping,medium,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00263,evx-portscan-341280,341280,PortScan,ATTACK,0.9887872338294983,high,threat_hunting_followup,hard,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00348,evx-portscan-405688,405688,PortScan,ATTACK,0.9960756897926331,high,soc_incident_assessment,expert,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00257,evx-portscan-340424,340424,PortScan,ATTACK,0.9936182498931885,high,uncertainty_evidence_gap,easy,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00223,evx-portscan-331395,331395,PortScan,ATTACK,0.9986873269081116,high,vulnerability_context,hard,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00225,evx-portscan-332419,332419,PortScan,ATTACK,0.9990082383155823,high,executive_summary,easy,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
trustsecai-gold-v1-00227,evx-portscan-332419,332419,PortScan,ATTACK,0.9990082383155823,high,soc_incident_assessment,hard,mixed_direct_and_inferred,True,True,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,candidate_unreviewed,,
