sample_id,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label,binary_label,source_file
classifier-demo-010,6689,29,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,275862.069,68965.51724,29.0,0.0,29,29,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,34482.75862,34482.75862,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,1,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
classifier-demo-011,8500,79,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,75949.36709,25316.4557,79.0,0.0,79,79,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,12658.22785,12658.22785,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,1,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
classifier-demo-012,5050,27,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,222222.2222,74074.07407,27.0,0.0,27,27,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,37037.03704,37037.03704,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,1,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
classifier-demo-013,24444,23,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,260869.5652,86956.52174,23.0,0.0,23,23,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,43478.26087,43478.26087,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,1,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
classifier-demo-014,2381,63,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,126984.127,31746.03175,63.0,0.0,63,63,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,15873.01587,15873.01587,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,PortScan,1,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv
classifier-demo-015,21,9284406,9,15,114,188,26,0,12.66666667,10.52378259,34,0,12.53333333,14.54975045,32.52765982,2.584979588,403669.8261,1047369.938,3266215,3,6232636,779079.5,1438602.505,3308924,212,9284287,663163.3571,1292720.993,3266215,3,0,0,0,0,296,488,0.969367346,1.615612243,0,34,12.08,12.91291343,166.7433333,0,0,0,1,0,0,0,0,1,12.58333333,12.66666667,12.53333333,296,0,0,0,0,0,0,9,114,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator,1,Tuesday-WorkingHours.pcap_ISCX.csv
classifier-demo-016,21,237,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,59071.72996,12658.22785,118.5,45.96194078,151,86,237,237.0,0.0,237,237,0,0.0,0.0,0,0,1,0,0,0,64,20,8438.818565,4219.409283,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator,1,Tuesday-WorkingHours.pcap_ISCX.csv
classifier-demo-017,21,8864281,9,15,106,188,23,0,11.77777778,9.417772796,34,0,12.53333333,14.54975045,33.16681861,2.707495396,385403.5217,1003954.345,3271371,3,5550882,693860.25,1282374.6,2907867,49,8864161,633154.3571,1239679.533,3271371,3,0,0,0,0,296,488,1.015310774,1.692184623,0,34,11.76,12.61705195,159.19,0,0,0,1,0,0,0,0,1,12.25,11.77777778,12.53333333,296,0,0,0,0,0,0,9,106,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator,1,Tuesday-WorkingHours.pcap_ISCX.csv
classifier-demo-018,21,325,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,43076.92308,9230.769231,162.5,123.7436867,250,75,325,325.0,0.0,325,325,0,0.0,0.0,0,0,1,0,0,0,64,20,6153.846154,3076.923077,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator,1,Tuesday-WorkingHours.pcap_ISCX.csv
classifier-demo-019,21,242,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,57851.23967,12396.69421,121.0,107.4802307,197,45,242,242.0,0.0,242,242,0,0.0,0.0,0,0,1,0,0,0,64,20,8264.46281,4132.231405,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator,1,Tuesday-WorkingHours.pcap_ISCX.csv
classifier-demo-020,8080,994727,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,18.09541713,6.031805712,198945.4,271746.3256,499619,404,994291,497145.5,4069.399526,500023,494268,994079,497039.5,4264.560997,500055,494024,0,0,0,0,92,60,3.015902856,3.015902856,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,Bot,1,Friday-WorkingHours-Morning.pcap_ISCX.csv
classifier-demo-021,8080,76420,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,4462.182675,91.59905784,12736.66667,30340.15497,74666,57,76420,25473.33333,43531.40467,75738,57,75154,37577.0,52451.76681,74666,488,0,0,0,0,92,72,52.34231876,39.25673907,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0,Bot,1,Friday-WorkingHours-Morning.pcap_ISCX.csv
classifier-demo-022,51741,16,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,750000.0,125000.0,16.0,0.0,16,16,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,62500.0,62500.0,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,245,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Bot,1,Friday-WorkingHours-Morning.pcap_ISCX.csv
classifier-demo-023,4190,79,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,151898.7342,25316.4557,79.0,0.0,79,79,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,12658.22785,12658.22785,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Bot,1,Friday-WorkingHours-Morning.pcap_ISCX.csv
classifier-demo-024,53347,38,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,315789.4737,52631.57895,38.0,0.0,38,38,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,26315.78947,26315.78947,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0.0,0.0,0,0,0.0,0.0,0,0,Bot,1,Friday-WorkingHours-Morning.pcap_ISCX.csv
classifier-demo-025,80,23912,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2201.078258,486241.2178,376.3800602,2989.0,5848.947646,16986,33,19001,9500.5,10632.76467,17019,1982,23879,4775.8,8256.726088,19191,60,0,0,0,0,72,132,125.4600201,250.9200401,0,5840,1162.7,1918.795458,3681776.011,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
classifier-demo-026,80,80783228,9,5,62,11607,20,0,6.888888889,5.30199124,8675,0,2321.4,3769.536019,144.4483006,0.1733033,6214094.462,21200000.0,76600000,19,80200000,10000000.0,26900000.0,76600000,115,548993,137248.25,273680.7732,547769,96,0,0,0,0,192,112,0.111409264,0.061894036,0,8675,778.3333333,2309.850696,5335410.238,0,0,0,0,1,0,0,0,0,833.9285714,6.888888889,2321.4,192,0,0,0,0,0,0,9,62,5,11607,256,229,7,20,3647693.0,0.0,3647693,3647693,76600000.0,0.0,76600000,76600000,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
classifier-demo-027,80,7617540,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.15062343,0.525103905,2539180.0,4397480.413,7616953,273,7617540,2539180.0,4397480.413,7616953,273,0,0.0,0.0,0,0,0,0,0,0,80,0,0.525103905,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,587.0,0.0,587,587,7616953.0,0.0,7616953,7616953,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
classifier-demo-028,80,79130,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2189.772933,146935.4227,113.7368887,9891.25,19036.95901,50856,46,27282,13641.0,19137.13793,27173,109,79025,15805.0,22850.9551,50856,46,0,0,0,0,72,132,37.91229622,75.82459244,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
classifier-demo-029,80,81810201,8,5,56,11607,20,0,7.0,5.656854249,5840,0,2321.4,3173.373883,142.5616837,0.158904389,6817516.75,20400000.0,70900000,2,81000000,11600000.0,26400000.0,70900000,49,827982,206995.5,413229.8877,826840,2,0,0,0,0,172,112,0.097787316,0.061117073,0,5840,833.5,2103.115592,4423095.192,0,0,0,0,1,0,0,0,0,897.6153846,7.0,2321.4,172,0,0,0,0,0,0,8,56,5,11607,256,229,6,20,1316.0,0.0,1316,1316,40500000.0,43000000.0,70900000,10100000,DDoS,1,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
